StoryID,GroupOrder,ViewOrder,NameJP,PhraseJP,NameEN,PhraseEN
42014201,1,1,,特鉄隊は今、ニシキのとある人里離れた山の奥に向かっていた。\nかなりの僻地で、行商や旅人すらいない。\nそんな場所に何をしに行くのかというと、\n特別な訓練をするためである。,,
42014201,2,1,,決して遊びではないのだが、\n任務ではないからか、みんな楽しそうな表情だった。,,
42014201,3,1,シーイェン,「お～、雰囲気出てきたじゃないか！\n　やっぱ合宿といえば山ごもりだな！」,,
42014201,4,1,シーイェン,「やっと勉強や机仕事から解放される。\n　この日をどれほど待ちわびたことか！」,,
42014201,5,1,テンシン,「今日はいつにも増して元気ですね。\n　シーイェンはやっぱり都会より山の方が好きですか？」,,
42014201,6,1,シーイェン,「当たり前だぞ！\n　どこを思いっきり走ろうが、\n　どこで腹の底から叫ぼうが、\n　何にも言われないからな！」,,
42014201,7,1,シーイェン,「ああ、ウーダンの山を思い出すぞ」,,
42014201,8,1,シーイェン,「道士のじっちゃんに修行をつけてもらったのも、こんな森の中だ。\n　『ハイキングじゃ』とか言って、目隠しで走らされたりしてな。\n　あの時はさすがに死ぬかと思ったぞ……」,,
42014201,9,1,,遠い目をしながら、シーイェンがしみじみと呟く。\n彼女はアイゼングラートの奥地、ウーダンの山出身である。\nそこは幻霧の発生確率が非常に高いところで、\n生きていくのが困難なことから、魔境と呼ばれている。,,
42014201,10,1,,シーイェンはそんな山で幼い頃に両親を亡くし、\n生き延びるために必死に武術を学び、\nいつしか１人で生きていけるだけの力を勝ち取った。\nそして武闘家として強者を求め、外の世界に飛び出したという。,,
42014201,11,1,,やっぱり特鉄隊に入隊してくれたのも、\n強者がたくさんいるからなのか？,,
42014201,12,1,シーイェン,「旅立つ時にじっちゃんが、\n　『シャオロンという娘を探せ』って教えてくれたんだ。\n　そいつを倒せば『外の世界』への扉が開くってな。\n　だから、あたしの旅の目的はそれだったんだ」,,
42014201,13,1,シーイェン,「それでまずシャオロンがいるっていう、\n　『秘密基地』を探したんだ。\n　でもそこにシャオロンはいなくて、\n　次の手がかりを見つけて、アイゼングラート軍に乗り込んだ」,,
42014201,14,1,シーイェン,「そこからは成り行きで軍に入隊して、\n　気づいたら特鉄隊に入ってたんだ」,,
42014201,15,1,シーイェン,「でも驚いた。\n　だって特鉄隊にそのシャオロンがいるんだからな！」,,
42014201,16,1,,へえ、すごい偶然だな。\nでも『シャオロン』に『秘密基地』って、\nどこかで聞いたことあるような気が……。,,
42014201,17,1,テンシン,「シャオロンとは私のことですよ、車掌さん♪」,,
42014201,18,1,テンシン,「ハカセがくれたこの『テンシン』の前に名乗っていたもので、\n　今となってはとっても懐かしい名前です」,,
42014201,19,1,,テンシンの言う『ハカセ』とは、ペイジンのことである。\nそういえば入隊時の資料に、シャオロンについての記述もあったな。,,
42014201,20,1,テンシン,「シャオロンは、私がむかし暮らしていた秘密基地の長老――\n　シーイェンの言う『じっちゃん』にもらった名前なんですよ」,,
42014201,21,1,テンシン,「長老はある日とつぜん『秘密基地』からいなくなってしまって、\n　それ以来まったく行方がわからずにいたんですが……。\n　まさかウーダンに行っていたなんて驚きです」,,
42014201,22,1,テンシン,「長老はウーダンの道士だったんですね。\n　どうりで強いわけです」,,
42014201,23,1,シーイェン,「それもどこまで本当かわからないけどな。\n　あのじっちゃんの言うことだから、\n　話半分に聞いておいたほうがよさそうだ」,,
42014201,24,1,テンシン,「それわかります！\n　『秘密基地』でもそんな感じでしたよ」,,
42014201,25,1,シーイェン,「でも、シャオロンっていう強ぇヤツがいるってのは本当だった。\n　こうして巡り会えたんだから、ウーダンを出た甲斐があったってもんだ」,,
42014201,26,1,シーイェン,「今回の合宿でシャオロン――いやテンシン、\n　お前より強いってことを証明してやる！」,,
42014201,27,1,テンシン,「ふふ、受けて立ちましょうシーイェン」,,
42014201,28,1,,シーイェンとテンシンが、互いに不敵な笑みを交わしあう。\nまあライバル同士で力を高めあおうとするのは結構だが、\nここらで一つ確認しておきたい。\n２人とも、今回の合宿の目的は分かっているだろうな？,,
42014201,29,1,シーイェン,「そんなもん、もっともっと強くなるためだろう？」,,
42014201,30,1,テンシン,「いつでもハカセを守れるようになるためです」,,
42014201,31,1,,いや、そうじゃない――\nそう言おうとしたところで、\nここまで無言で横を歩いていたヴィクトリアが口を開いた。,,
42014201,32,1,ヴィクトリア,「違いますよ２人とも。\n　私たちが合宿するのは、\n　ひとえに立派なトレインナイトになるためです」,,
42014201,33,1,ヴィクトリア,「それは単に武力や戦力という話ではありません。\n　人々の希望たる者として、いつでも見られることを意識し、\n　正しい振る舞いをするという意味ですわ」,,
